id,ext_path,geo
130636,"河北省 保定市 顺平县","115.132749 38.845127"
130637,"河北省 保定市 博野县","115.461798 38.458271"
130638,"河北省 保定市 雄县","116.107474 38.990819"
130671,"河北省 保定市 保定高新技术产业开发区","EMPTY"
130672,"河北省 保定市 保定白沟新城","EMPTY"
130681,"河北省 保定市 涿州市","115.973409 39.485765"
130682,"河北省 保定市 定州市","114.991389 38.517602"
130683,"河北省 保定市 安国市","115.33141 38.421367"
130684,"河北省 保定市 高碑店市","115.882704 39.327689"
1307,"河北省 张家口市","114.884091 40.811901"
130702,"河北省 张家口市 桥东区","114.885658 40.813875"
130703,"河北省 张家口市 桥西区","114.882127 40.824385"
130705,"河北省 张家口市 宣化区","115.0632 40.609368"
130706,"河北省 张家口市 下花园区","115.281002 40.488645"
130708,"河北省 张家口市 万全区","114.736131 40.765136"
130709,"河北省 张家口市 崇礼区","115.281652 40.971302"
130722,"河北省 张家口市 张北县","114.715951 41.151713"
130723,"河北省 张家口市 康保县","114.615809 41.850046"
130724,"河北省 张家口市 沽源县","115.684836 41.667419"
130725,"河北省 张家口市 尚义县","113.977713 41.080091"
130726,"河北省 张家口市 蔚县","114.582695 39.837181"
130727,"河北省 张家口市 阳原县","114.167343 40.113419"
130728,"河北省 张家口市 怀安县","114.422364 40.671274"
130730,"河北省 张家口市 怀来县","115.520846 40.405405"
130731,"河北省 张家口市 涿鹿县","115.219246 40.378701"
130732,"河北省 张家口市 赤城县","115.832708 40.912081"
130771,"河北省 张家口市 张家口市高新技术产业开发区","EMPTY"
130772,"河北省 张家口市 张家口市察北管理区","EMPTY"
130773,"河北省 张家口市 张家口市塞北管理区","EMPTY"
1308,"河北省 承德市","117.939152 40.976204"
130802,"河北省 承德市 双桥区","117.939152 40.976204"
130803,"河北省 承德市 双滦区","117.797485 40.959756"
130804,"河北省 承德市 鹰手营子矿区","117.661154 40.546956"
130821,"河北省 承德市 承德县","118.172496 40.768637"
130822,"河北省 承德市 兴隆县","117.507098 40.418525"
130824,"河北省 承德市 滦平县","117.337124 40.936644"
130825,"河北省 承德市 隆化县","117.736343 41.316667"
130826,"河北省 承德市 丰宁满族自治县","116.65121 41.209903"
130827,"河北省 承德市 宽城满族自治县","118.488642 40.607981"
130828,"河北省 承德市 围场满族蒙古族自治县","117.764086 41.949404"
130871,"河北省 承德市 承德高新技术产业开发区","EMPTY"
130881,"河北省 承德市 平泉市","118.690238 41.00561"
1309,"河北省 沧州市","116.857461 38.310582"
130902,"河北省 沧州市 新华区","116.873049 38.308273"
130903,"河北省 沧州市 运河区","116.840063 38.307405"
130921,"河北省 沧州市 沧县","117.007478 38.219856"
130922,"河北省 沧州市 青县","116.838384 38.569646"
130923,"河北省 沧州市 东光县","116.542062 37.88655"
130924,"河北省 沧州市 海兴县","117.496606 38.141582"
130925,"河北省 沧州市 盐山县","117.229814 38.056141"
130926,"河北省 沧州市 肃宁县","115.835856 38.427102"
130927,"河北省 沧州市 南皮县","116.709171 38.042439"
130928,"河北省 沧州市 吴桥县","116.391512 37.628182"
130929,"河北省 沧州市 献县","116.123844 38.189661"
130930,"河北省 沧州市 孟村回族自治县","117.105104 38.057953"
130971,"河北省 沧州市 河北沧州经济开发区","EMPTY"
130972,"河北省 沧州市 沧州高新技术产业开发区","EMPTY"
130973,"河北省 沧州市 沧州渤海新区","EMPTY"
130981,"河北省 沧州市 泊头市","116.570163 38.073479"
130982,"河北省 沧州市 任丘市","116.106764 38.706513"
130983,"河北省 沧州市 黄骅市","117.343803 38.369238"
130984,"河北省 沧州市 河间市","116.089452 38.44149"
1310,"河北省 廊坊市","116.704441 39.523927"
131002,"河北省 廊坊市 安次区","116.694544 39.502569"
131003,"河北省 廊坊市 广阳区","116.713708 39.521931"
131022,"河北省 廊坊市 固安县","116.299894 39.436468"
131023,"河北省 廊坊市 永清县","116.498089 39.319717"
131024,"河北省 廊坊市 香河县","117.007161 39.757212"
131025,"河北省 廊坊市 大城县","116.640735 38.699215"
131026,"河北省 廊坊市 文安县","116.460107 38.866801"
131028,"河北省 廊坊市 大厂回族自治县","116.986501 39.889266"
131071,"河北省 廊坊市 廊坊经济技术开发区","EMPTY"
131081,"河北省 廊坊市 霸州市","116.392021 39.117331"
131082,"河北省 廊坊市 三河市","117.077018 39.982778"
1311,"河北省 衡水市","115.665993 37.735097"
131102,"河北省 衡水市 桃城区","115.694945 37.732237"
131103,"河北省 衡水市 冀州区","115.579173 37.542788"
131121,"河北省 衡水市 枣强县","115.726499 37.511512"
131122,"河北省 衡水市 武邑县","115.892415 37.803774"
131123,"河北省 衡水市 武强县","115.970236 38.03698"
131124,"河北省 衡水市 饶阳县","115.726577 38.232671"
131125,"河北省 衡水市 安平县","115.519627 38.233511"
131126,"河北省 衡水市 故城县","115.966747 37.350981"
131127,"河北省 衡水市 景县","116.258446 37.686622"
131128,"河北省 衡水市 阜城县","116.164727 37.869945"
131171,"河北省 衡水市 河北衡水高新技术产业开发区","EMPTY"
131172,"河北省 衡水市 衡水滨湖新区","EMPTY"
131182,"河北省 衡水市 深州市","115.554596 38.00347"
14,"山西省","112.549248 37.857014"
